Title	Creator	Language	Contributor	Type	Form	Genre	Subject	OriginPlace	Identifier	DateNote	Date1Code	Date2Code	Location	BoxFolder	Collection	Series	Subseries	CreatorType	CreatorRole	ContributorType	ContributorRole	SubjectType	Publisher	Extent	Notes
Harrison, Hubert H., Editor, to W.E.B. DuBois, 18 November 1920 : typed letter	Harrison, Hubert H.	English	DuBois, W.E.B. (William Edward Burghardt), 1868-1963.	Text	correspondence	typescripts	African American political activistss;African American authors;Editors;Harrison, H. H.;Du Bois, W.E.B. (William Edward Burghardt), 1868-1963	New York, NY	hubert_h_harrison_papers_039	18 November 1920	11/18/1920		Teachers College Library	Box 2, Folder 25	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;topical;personal;personal		1 item (1 page)	
Harrison, Hubert H. to [?] regarding Republican Party, 27 October 1924  : autograph letter, signed	Harison, Hubert H.	French		txt	correspondence	autographs (manuscripts)	African American political activists;African American autthors;Harrison, Hubert H.;Republican Party (U.S. : 1854- )	NY, NY	hubert_h_harrison_papers_041	27 October 1924	10/27/1924		Rare Book & Manuscript Library, Columbia University	Box 2, Folder 27	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent			topical;topical;personal;corporate		1 item (1 page)	
Harrison, Hubert H. to [?] regarding book reviews, undated : typed letter	Harrison, Hubert H.	Spanish		rext	correspondence	typescripts	African American political activists;African American authors;Book reviewing;Harrison, Hubert H.	N.Y., N.Y.	hubert_h_harrison_papers_042	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 2, Folder 28	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent			topical;topical;topical;personal		1 item (page 2 only)	Page 2 only;Date inferred from inclusive dates of archival collection
Harrison, Hubert H. to [?], undated : autograph letter fragment	Harrison, Hubrt H.	German		text.	correspondence	autographs (manuscripts)	African American political activistss;African American autthors;Harrison, H. H.	Nueva York	hubert_h_harrison_papers_100	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 2, Folder 29	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent			topical;topical;personal		1 item (2 pages)	Date inferred from inclusive dates of archival collection
The Art of the Theatre and How to Understand It : article, circa 1917 : autograph manuscript with typed manuscript pasted on page 2	Harrison, Hubert H.	Spanish		t@!xt	manuscripts (documents)	articles;autographs (manuscripts)	Theater	Harlem, New York	hubert_h_harrison_papers_048	circa 1917	1917		Rare Book & Manuscript Library, Columbia University	Box 4, Folder 10	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (2 pages)	
Black Man's Burden : a reply to "The White Man's Burden," circa 1918 : circular	Harrison, Hubert H.	English	Liberty League of Negro-Americans (New York, N.Y.).	Text	printed ephemera	circulars (fliers)	Race relations.;United States.;Kipling, Rudyard, 1865-1936. White man's burden	Harlem, New York	hubert_h_harrison_papers_050	circa 1918	1918		Rare Book & Manuscript Library, Columbia University	Box 4, Folder 14	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author	corporate	Publisher	topical;geographic;title		1 item (2 pages)	Liberty League Leaflets ; no. 1
Blood of the Custom House : notes regarding Gertrude Fayde, undated : autograph manuscript	Harrison, Hubert H.	German		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Fayde, Gertrude	Harlem, N.Y.	hubert_h_harrison_papers_053	1893-1927	1893	1927	Arthur W. Diamond Law Library, Columbia University	Box 4, Folder 16	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			personal		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
Notes regarding irony, 23 December 1920 : autograph manuscript	Harrisson, Hubert H.	English		text  	manuscripts (documents)	autographs (manuscripts);notes (documents)	Irony	Harlem, New York, N.Y.	hubert_h_harrison_papers_054	23 December 1920	12/23/1920		Augustus C. Long Health Sciences Library, Columbia University	Box 4, Folder 17	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (1 leaf)	
Reviewing as a Fine Art, circa 1907? : autograph manuscript notes	Harrison, Hubert H.	French		  text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Criticism	Harlem, New York City	hubert_h_harrison_papers_055	circa 1907?	1907		Avery Architectural and Fine Arts Library, Columbia University	Box 4, Folder 20	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (2 pages)	
Review of book The Black Man’s Burden by E. D. Morel :  autograph manuscript, signed, November 1920	Harrison, H. H.	English		Text	clippings (information artifacts)	reviews (documents);autographs (manuscripts)	Race relations;Africa;Morel, E. D. (Edmund Dene), 1873-1924. Black man's burden	New York, N.Y.?	hubert_h_harrison_papers_057	11 December 1920	12/11/1920		Barnard College Library	Box 4, Folder 21	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			topical;geographic;title		1 item (8 pages)	
Bridging the Gulf of Color : essay, April 1922? : autograph manuscript	Harrison, Hubert H.	Spanish		txt	manuscripts (documents)	essays;autographs (manuscripts)	Race relations.	New York City, N.Y.	hubert_h_harrison_papers_059	April 1922?	1922-04		Burke Library at Union Theological Seminary, Columbia University	Box 4, Folder 23	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (7 pages)	
Canary Cottage : A Dramatic Opinion : review, undated : autograph manuscript	Harrison, HH	German		rext	manuscripts (documents)	reviews (documents);autographs (manuscripts)	Morosco, Oliver, 1876-1945. Canary cottage	Harlem, NY	hubert_h_harrison_papers_062	1893-1927	1893	1927	Butler Library, Columbia University	Box 4, Folder 30	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			title		1 item (3 pages)	Date inferred from inclusive dates of archival collection
Class Book : An American History for Public Schools ; The Art of the Short Story, 1920-1926 : autograph manuscript draft (unpublished)	Harrison, Hubert H.	English		text.	manuscripts (documents)	autographs (manuscripts);drafts (documents)	Social history;Social classes;Short story	Harlem, NYC	hubert_h_harrison_papers_063	1920-1926	1920	1926	C.V. Starr East Asian Library, Columbia University	Box 4, Folder 34	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;topical		1 volume (124 pages)	Mostly blank pages;Pages 12-21, 56-57, 76-77, 92-95, 102-111 wanting from digital item
Disarmament and the Darker Races, December 1921 : autograph manuscript draft / Hira Lal Ganesha	Harrison, Gubert H.	English		t@!xt	manuscripts (documents)	autographs (manuscripts);drafts (documents)	Disarmament;Race relations;Conference on the Limitation of Armament 1921-1922 Washington, D.C.	NYC	hubert_h_harrison_papers_064	December 1921	1921-12		Gabe M. Weiner Music & Arts Library, Columbia University	Box 4, Folder 43	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;conference		1 item (4 pages)	
Disarmament and the Darker Races : Outline of Portion of Chapter Eleven, December 1921 : autograph manuscript notes	Harrison, Hubert H.	French		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Disarmament;Race relations.;Conference on the Limitation of Armament 1921-1922 Washington, D.C.	Brooklyn, NYC	hubert_h_harrison_papers_065	December 1921	1921-12		Business & Economics Library, Columbia University	Box 4, Folder 45	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;conference		1 item (2 pages)	
Egypt, undated : autograph manuscript fragment	Harrison, Hubert H.	Spanish		Text	manuscripts (documents)	autographs (manuscripts)	Egypt	Brooklyn, N.Y., N.Y.	hubert_h_harrison_papers_069	1893-1927	1893	1927	Lehman Social Sciences Library, Columbia University	Box 4, Folder 50	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			geographic		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
Emperor Jones, 4 June 1921 : photocopy of clipping	Harrison, Hubert	French		text  	clippings (information artifacts)		O'Neill, Eugene, 1888-1953. Emperor Jones	New York, N.Y.	hubert_h_harrison_papers_070	4 June 1921	06/04/1921		Jewish Theological Seminary Library	Box 4, Folder 52	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			title		1 item (2 pages)	Original in Books series
Essay on Truth, undated : autograph manuscript fragment	Harrison, H. H.	German		  text	manuscripts (documents)	essays;autographs (manuscripts)	Truth	New York, N.Y.?	hubert_h_harrison_papers_071	1893-1927	1893	1927	Journalism Library, Columbia University	Box 4, Folder 53	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (2 pages)	Date inferred from inclusive dates of archival collection
European History, undated : autograph manuscript notes	Harrison, H.H.	English		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	History;Europe	New York, N.Y.	hubert_h_harrison_papers_072	1893-1927	1893	1927	Mathematics Library, Columbia University	Box 4, Folder 54	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;geographic		1 item (leaf 2 only)	Page 2 only;Date inferred from inclusive dates of archival collection
Exchange List. Address list (newspapers) : typed manuscript	Harrison, HH	French		txt	manuscripts (documents)	typescripts	Newspapers	New York, NY	hubert_h_harrison_papers_073	1893-1927	1893	1927	Science & Engineering Library, Columbia University	Box 4, Folder 55	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (3 pages)	Date inferred from inclusive dates of archival collection
Fiction, undated : autograph manuscript notes	Harrison, Hubert H.	Spanish		rext	manuscripts (documents)	autographs (manuscripts);notes (documents)	Fiction	NY, NY	hubert_h_harrison_papers_074	1893-1927	1893	1927	Social Work Library, Columbia University	Box 4, Folder 56	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
From a Well-Wisher : article by James Phillips on Hubert H. Harrison, circa 1926 : autograph manuscript	Phillips, James E.	Spanish		text	manuscripts (documents)	articles;autographs (manuscripts)	Authors;Political activists;Harrison, Hubert H.	New York, N.Y.?	hubert_h_harrison_papers_076	circa 1926	1926		Teachers College Library	Box 4, Folder 59	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;personal		1 item (3 pages)	
Garveyesque Locution, undated, written on envelope dated 14 February 1925 : autograph manuscript notes	Harrison, Hubrt H.	German		text.	manuscripts (documents)	autographs (manuscripts);notes (documents)	Garvey, Marcus, 1887-1940.	N.Y., N.Y.	hubert_h_harrison_papers_077	14 February 1925	02/14/1925		Rare Book & Manuscript Library, Columbia University	Box 4, Folder 62	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			personal		1 item (page 2 only)	Manuscript undated; written on envelope dated 14 February 1925;Page 2 only
Gov't Ownership, undated : autograph manuscript notes	Harison, Hubert H.	English		t@!xt	manuscripts (documents)	autographs (manuscripts);notes (documents)	Government ownership	Nueva York	hubert_h_harrison_papers_078	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 4, Folder 63	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical		1 item (1 leaf)	Date inferred from inclusive dates of archival collection
Greatest American Writer : notes regarding Mark Twain, 26 January 1924 : autograph manuscript	Harrison, Hub. H.	French		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Twain, Mark, 1835-1910	New York City	hubert_h_harrison_papers_079	26 January 1924	01/26/1924		Rare Book & Manuscript Library, Columbia University	Box 4, Folder 64	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			personal		1 item (3 pages)	
History and Forecast of the Disarmament Movement : Board of Education lecture / by Hubert H. Harrison, at the Public Library, 16 November 1924 : autograph manuscript notes	Harrison, Hubert H.	Spanish	New York (N.Y.). Board of Education;New York Public Library.	Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Disarmament;Renunciation of war;League of Nations	Nyu-York	hubert_h_harrison_papers_080	16 November 1924	11/16/1924		Rare Book & Manuscript Library, Columbia University	Box 4, Folder 69	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author	corporate;corporate	Sponsor;Host institution	topical;topical;corporate		1 item (3 columns)	
Immigration and the Negro, undated : autograph manuscript notes	Harrison, Hubert H.	German		text  	manuscripts (documents)	autographs (manuscripts);notes (documents)	Emigration and immigration;African Americans;United States	Brooklyn, N.Y.	hubert_h_harrison_papers_081	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 5, Folder 1	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;geographic		1 item (leaf 2 only)	Page 2 only;Date inferred from inclusive dates of archival collection
Imperialist America : review of The American Empire by Scott Nearing, circa 30 April 1921 : typed manuscript	Harrison, Hubert	English		  text	manuscripts (documents)	reviews (documents);typescripts	United States.;Nearing, Scott, 1883-1983. American Empire	Brooklyn, NY	hubert_h_harrison_papers_083	circa 30 April 1921	04/30/1921		Arthur W. Diamond Law Library, Columbia University	Box 5, Folder 3	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Reviewer			geographic;title		1 item (3 pages)	
Is the Housing Problem Still With Us? 23 January 1926 : autograph manuscript notes	Harrison, H. H.	English		Text	manuscripts (documents)	autographs (manuscripts);notes (documents)	Housing;United States	Brooklyn, L.I.	hubert_h_harrison_papers_085	23 January 1926	01/23/1926		Augustus C. Long Health Sciences Library, Columbia University	Box 5, Folder 6	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;geographic		1 item (2 pages)	
League of Nations and the Present European Crisis, 18 November 1923 : autograph manuscript notes	Harrison, H.H.	English		txt	manuscripts (documents)	autographs (manuscripts);notes (documents)	Depressions;League of Nations.;Europe	Brooklyn, New York	hubert_h_harrison_papers_087	18 November 1923	11/18/1923		Avery Architectural and Fine Arts Library, Columbia University	Box 5, Folder 8	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;corporate;geographic		1 item (2 pages)	
Liberty League Demands for New York City, August 1921 : autograph manuscript notes	Harrison, HH	English	Liberty League of Negro-Americans (New York, N.Y.).	rext	manuscripts (documents)	autographs (manuscripts);notes (documents)	African Americans--Civil rights;Liberty League of Negro-Americans (New York, N.Y.);New York (N.Y.)	Harlem, New York	hubert_h_harrison_papers_088	August 1921	1921-08		Barnard College Library	Box 5, Folder 10	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author	corporate	Contributor	topical;corporate;geographic		1 item (2 pages)	
Lincoln and Liberty : research notes from books by Blaine (vol. 1 chap. XII; 20 years) and Elson (History of U.S.), undated : autograph manuscript	Harrison, Hubert H.	English		text.	manuscripts (documents)	autographs (manuscripts);notes (documents)	Race relations--Political aspects;Slavery--Political aspects;Lincoln, Abraham, 1809-1865.;Republican Party (U.S. : 1854- );Elson, Henry W. (Henry William), 1857-1935;Blaine, James Gillespie, 1830-1893	Harlem, N.Y.	hubert_h_harrison_papers_092	1893-1927	1893	1927	Burke Library at Union Theological Seminary, Columbia University	Box 5, Folder 13	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	personal	Author			topical;topical;personal;corporate;personal;personal		2 items (7 leaves)	Date inferred from inclusive dates of archival collection
